Type;Utility Action;Utility Premise;Proof;Applied Action;attr;my_gain;highest_gain;subset_size;
INFER;Receive Subset For Iteration; ; ;;;;;277;
INFER;Calculate Attribute Gain; ; ;;age;0.0207288229611097;0;277;
INFER;Select best attribute; ; ;;age;0.0207288229611097;0.0207288229611097;277;
INFER;Calculate Attribute Gain; ; ;;menopause;0.0115507256709301;0.0207288229611097;277;
INFER;Calculate Attribute Gain; ; ;;tumor-size;0.0614568100057683;0.0207288229611097;277;
INFER;Select best attribute; ; ;;tumor-size;0.0614568100057683;0.0614568100057683;277;
INFER;Calculate Attribute Gain; ; ;;inv-nodes;0.0824210735962318;0.0614568100057683;277;
INFER;Select best attribute; ; ;;inv-nodes;0.0824210735962318;0.0824210735962318;277;
INFER;Calculate Attribute Gain; ; ;;node-caps;0.0558820900911321;0.0824210735962318;277;
INFER;Calculate Attribute Gain; ; ;;deg-malig;0.0885328456182737;0.0824210735962318;277;
INFER;Select best attribute; ; ;;deg-malig;0.0885328456182737;0.0885328456182737;277;
INFER;Calculate Attribute Gain; ; ;;breast;0.00123273264032669;0.0885328456182737;277;
INFER;Calculate Attribute Gain; ; ;;breast-quad;0.00864138666805216;0.0885328456182737;277;
INFER;Calculate Attribute Gain; ; ;;irradiat;0.0347036298766683;0.0885328456182737;277;
DECIDE;Remove Attribute from consideration;Highest gain has been determined.;gain(deg-malig) = 0.0885328456182737;REMOVE deg-malig FROM SPLIT CONSIDERATION;irradiat;0.0347036298766683;0.0885328456182737;277;
DECIDE;Add New Node;Highest gain has been determined.;gain(deg-malig) = 0.0885328456182737;CREATE NODE FOR deg-malig;irradiat;0.0347036298766683;0.0885328456182737;277;
DECIDE;Iterate further;Subset not fully classified on this value.;classifier(deg-malig = 3) = DISTINCT;ITERATE FURTHER ON deg-malig = 3;irradiat;0.0347036298766683;0.0885328456182737;277;
INFER;Receive Subset For Iteration; ; ;;irradiat;0.0347036298766683;0.0885328456182737;82;
INFER;Calculate Attribute Gain; ; ;;age;0.0333800633293115;0;82;
INFER;Select best attribute; ; ;;age;0.0333800633293115;0.0333800633293115;82;
INFER;Calculate Attribute Gain; ; ;;menopause;0.0401820006562977;0.0333800633293115;82;
INFER;Select best attribute; ; ;;menopause;0.0401820006562977;0.0401820006562977;82;
INFER;Calculate Attribute Gain; ; ;;tumor-size;0.075482539218126;0.0401820006562977;82;
INFER;Select best attribute; ; ;;tumor-size;0.075482539218126;0.075482539218126;82;
INFER;Calculate Attribute Gain; ; ;;inv-nodes;0.163840854332499;0.075482539218126;82;
INFER;Select best attribute; ; ;;inv-nodes;0.163840854332499;0.163840854332499;82;
INFER;Calculate Attribute Gain; ; ;;node-caps;0.0922634802470098;0.163840854332499;82;
INFER;Calculate Attribute Gain; ; ;;breast;0.0055913269419639;0.163840854332499;82;
INFER;Calculate Attribute Gain; ; ;;breast-quad;0.0556419824073627;0.163840854332499;82;
INFER;Calculate Attribute Gain; ; ;;irradiat;0.0407320269947243;0.163840854332499;82;
DECIDE;Remove Attribute from consideration;Highest gain has been determined.;gain(inv-nodes) = 0.163840854332499;REMOVE inv-nodes FROM SPLIT CONSIDERATION;irradiat;0.0407320269947243;0.163840854332499;82;
DECIDE;Add New Node;Highest gain has been determined.;gain(inv-nodes) = 0.163840854332499;CREATE NODE FOR inv-nodes;irradiat;0.0407320269947243;0.163840854332499;82;
DECIDE;Iterate further;Subset not fully classified on this value.;classifier(inv-nodes = 0-2) = DISTINCT;ITERATE FURTHER ON inv-nodes = 0-2;irradiat;0.0407320269947243;0.163840854332499;82;
INFER;Receive Subset For Iteration; ; ;;irradiat;0.0407320269947243;0.163840854332499;47;
INFER;Calculate Attribute Gain; ; ;;age;0.0927486027957402;0;47;
INFER;Select best attribute; ; ;;age;0.0927486027957402;0.0927486027957402;47;
INFER;Calculate Attribute Gain; ; ;;menopause;0.0707831526725329;0.0927486027957402;47;
INFER;Calculate Attribute Gain; ; ;;tumor-size;0.149446914645225;0.0927486027957402;47;
INFER;Select best attribute; ; ;;tumor-size;0.149446914645225;0.149446914645225;47;
INFER;Calculate Attribute Gain; ; ;;node-caps;0.0053617480614493;0.149446914645225;47;
INFER;Calculate Attribute Gain; ; ;;breast;0.00617232244722882;0.149446914645225;47;
INFER;Calculate Attribute Gain; ; ;;breast-quad;0.059239685606639;0.149446914645225;47;
INFER;Calculate Attribute Gain; ; ;;irradiat;0.0157078741295422;0.149446914645225;47;
DECIDE;Remove Attribute from consideration;Highest gain has been determined.;gain(tumor-size) = 0.149446914645225;REMOVE tumor-size FROM SPLIT CONSIDERATION;irradiat;0.0157078741295422;0.149446914645225;47;
DECIDE;Add New Node;Highest gain has been determined.;gain(tumor-size) = 0.149446914645225;CREATE NODE FOR tumor-size;irradiat;0.0157078741295422;0.149446914645225;47;
DECIDE;Iterate further;Subset not fully classified on this value.;classifier(tumor-size = 30-34) = DISTINCT;ITERATE FURTHER ON tumor-size = 30-34;irradiat;0.0157078741295422;0.149446914645225;47;
INFER;Receive Subset For Iteration; ; ;;irradiat;0.0157078741295422;0.149446914645225;13;
INFER;Calculate Attribute Gain; ; ;;age;0.102678184820555;0;13;
INFER;Select best attribute; ; ;;age;0.102678184820555;0.102678184820555;13;
INFER;Calculate Attribute Gain; ; ;;menopause;0.0726505290080025;0.102678184820555;13;
INFER;Calculate Attribute Gain; ; ;;node-caps;0.0912332151761692;0.102678184820555;13;
INFER;Calculate Attribute Gain; ; ;;breast;0.130718798405192;0.102678184820555;13;
INFER;Select best attribute; ; ;;breast;0.130718798405192;0.130718798405192;13;
INFER;Calculate Attribute Gain; ; ;;breast-quad;0.4384111060975;0.130718798405192;13;
INFER;Select best attribute; ; ;;breast-quad;0.4384111060975;0.4384111060975;13;
INFER;Calculate Attribute Gain; ; ;;irradiat;0.195553348192076;0.4384111060975;13;
DECIDE;Remove Attribute from consideration;Highest gain has been determined.;gain(breast-quad) = 0.4384111060975;REMOVE breast-quad FROM SPLIT CONSIDERATION;irradiat;0.195553348192076;0.4384111060975;13;
DECIDE;Add New Node;Highest gain has been determined.;gain(breast-quad) = 0.4384111060975;CREATE NODE FOR breast-quad;irradiat;0.195553348192076;0.4384111060975;13;
DECIDE;Add New Leaf;Subset perfectly classified.;classifier(breast-quad = left_low) = no-recurrence-events;CREATE LEAF FOR breast-quad = left_low;irradiat;0.195553348192076;0.4384111060975;13;
DECIDE;Iterate further;Subset not fully classified on this value.;classifier(breast-quad = right_up) = DISTINCT;ITERATE FURTHER ON breast-quad = right_up;irradiat;0.195553348192076;0.4384111060975;13;
INFER;Receive Subset For Iteration; ; ;;irradiat;0.195553348192076;0.4384111060975;4;
INFER;Calculate Attribute Gain; ; ;;age;0.122556248918266;0;4;
INFER;Select best attribute; ; ;;age;0.122556248918266;0.122556248918266;4;
INFER;Calculate Attribute Gain; ; ;;menopause;0;0.122556248918266;4;
INFER;Calculate Attribute Gain; ; ;;node-caps;0.122556248918266;0.122556248918266;4;
INFER;Calculate Attribute Gain; ; ;;breast;0.122556248918266;0.122556248918266;4;
INFER;Calculate Attribute Gain; ; ;;irradiat;0;0.122556248918266;4;
DECIDE;Remove Attribute from consideration;Highest gain has been determined.;gain(age) = 0.122556248918266;REMOVE age FROM SPLIT CONSIDERATION;irradiat;0;0.122556248918266;4;
DECIDE;Add New Node;Highest gain has been determined.;gain(age) = 0.122556248918266;CREATE NODE FOR age;irradiat;0;0.122556248918266;4;
DECIDE;Skip Attribute-Value Combination;No attribute-value combination of this kind in this subset.;count(age = 30-39) = 0;NOTHING TO DO FOR age = 30-39;irradiat;0;0.122556248918266;4;
DECIDE;Iterate further;Subset not fully classified on this value.;classifier(age = 40-49) = DISTINCT;ITERATE FURTHER ON age = 40-49;irradiat;0;0.122556248918266;4;
INFER;Receive Subset For Iteration; ; ;;irradiat;0;0.122556248918266;3;
INFER;Calculate Attribute Gain; ; ;;menopause;0;0;3;
INFER;Calculate Attribute Gain; ; ;;node-caps;0.251629167387823;0;3;
INFER;Select best attribute; ; ;;node-caps;0.251629167387823;0.251629167387823;3;
INFER;Calculate Attribute Gain; ; ;;breast;0;0.251629167387823;3;
INFER;Calculate Attribute Gain; ; ;;irradiat;0;0.251629167387823;3;
DECIDE;Remove Attribute from consideration;Highest gain has been determined.;gain(node-caps) = 0.251629167387823;REMOVE node-caps FROM SPLIT CONSIDERATION;irradiat;0;0.251629167387823;3;
DECIDE;Add New Node;Highest gain has been determined.;gain(node-caps) = 0.251629167387823;CREATE NODE FOR node-caps;irradiat;0;0.251629167387823;3;
DECIDE;Iterate further;Subset not fully classified on this value.;classifier(node-caps = no) = DISTINCT;ITERATE FURTHER ON node-caps = no;irradiat;0;0.251629167387823;3;
INFER;Receive Subset For Iteration; ; ;;irradiat;0;0.251629167387823;2;
INFER;Calculate Attribute Gain; ; ;;menopause;0;0;2;
INFER;Calculate Attribute Gain; ; ;;breast;0;0;2;
INFER;Calculate Attribute Gain; ; ;;irradiat;0;0;2;
DECIDE;Add New Best Guess Leaf;Subset could not be further distinguished.;classifier(UNDETERMINED = no) = DISTINCT & AttributeCount = 0;CREATE BEST GUESS LEAF FOR UNDETERMINED = no;irradiat;0;0;2;
DECIDE;Move Up To Parent Attribute;The complete subset of this attribute-value combination has been resolved.;node-caps = no considered fully.;MOVE UP TO ATTRIBUTE. Back to 40-49;irradiat;0;0;2;
DECIDE;Add New Leaf;Subset perfectly classified.;classifier(node-caps = yes) = recurrence-events;CREATE LEAF FOR node-caps = yes;irradiat;0;0;2;
DECIDE;Move Up To Parent Value;All subsets corresponding to values of this attribute have been resolved.;node-caps  considered fully.;MOVE UP TO VALUE. Back to 40-49;irradiat;0;0;2;
